Publication Year,Author,Title,Journal,DOI,Url,Abstract Note,单位
2026,"Luo, Lianmei; Wang, Lanruo; Liu, Zhiying; Cai, Youqin; Zhang, Jun",PAX1/JAM3 methylation in cervical exfoliated cells: a robust diagnostic biomarker for cervical high-grade lesions associated with vaginal dysbiosis,BMC Women's Health,10.1186/s12905-026-04285-6,https://doi.org/10.1186/s12905-026-04285-6,"Objective This prospective single-center study aimed to investigate the clinical correlation between PAX1/JAM3 methylation (CISCER) assay and clinically evaluated vaginal microecological features in women referred for colposcopy, and to assess the potential complementary diagnostic value for detecting high-grade cervical lesions. Methods Participants were recruited from the Gynecologic Colposcopy Outpatient Clinic of Beijing Anzhen Hospital, Capital Medical University, from February 2024 to December 2024. The clinical performance of the CISCER assay and the vaginal microecology composition of the colposcopy-referred subjects were analyzed. Results The methylation levels of PAX1 and JAM3 were elevated in participants with cervical intraepithelial neoplasia 2 (CIN2). When ΔCtPAX1?≤?6.6 or ΔCtJAM3?≤?10.0, the methylation levels for PAX1 or JAM3 were high (with low ΔCt) in ≧?CIN2 compared to ≤?CIN1 (ΔCtPAX1: 4.25 vs. 9.35; ΔCtJAM3: 9.34 vs. 13.2) groups, reflecting higher methylation in high-grade lesions. For the detection of CIN2?+?and CIN3?+?lesions, the CISCER assay showed high discriminative accuracy, with AUC values of 0.826 and 0.852, respectively. Notably, the CISCER assay demonstrated superior specificity compared to hrHPV testing (89.1% vs. 7.3% for CIN2-), addressing a major limitation of current screening. Elevated PAX1/JAM3 methylation levels are associated with vaginal dysbiosis—characterized by Lactobacillus depletion and Gardnerella enrichment—and are potential strong predictors of CIN2+. Conclusions The PAX1/JAM3 methylation (CISCER) assay for cervical exfoliated cells has robust diagnostic association with high-grade cervical lesions (CIN2+) and correlates with vaginal dysbiosis biomarkers, including Gardnerella enrichment and Lactobacillus depletion, supporting its potential as a molecular triage tool for stratifying hrHPV-positive women.",Beijing Anzhen Hospital
2024,"娄琰琰; 刘元涛; 赵淑婷; 青, 陈; 曹佃霞; 公维涛; 郝长宏",JAM3基因DNA甲基化在宫颈高级别上皮内瘤变及术后复发预测的临床研究,临床医学进展,10.12677/acm.2024.1472146,https://www.hanspub.org/journal/PaperInformation.aspx?PaperID=92290&#abstract,"目的：探讨JAM3 (junctional adhesion molecules 3)基因DNA甲基化水平在高级别上皮内瘤变中的诊断效能，实现宫颈癌精准筛查，协助高级别上皮内瘤变(cervical intraepithelial neoplasia, CIN) II~III级分级管理，预测术后复发风险，规范宫颈上皮内瘤变治疗。研究方法：选择2020年1月至2023年1月就诊于临沂市中心医院需行宫颈活检术的200例病例，分别行HPV检查、液基细胞学检查、病理标本DNA甲基化检测。检测期间由一名固定医生取样。所有研究对象均通过阴道镜检查并进行宫颈组织病理学确诊后分组。根据病理学检查结果分为正常组、CIN I级组、CINI级组、CINIII级组，各50例进行数据统计和临床分析。结果：正常组、CINI级组、CINII级组、CINIII级组JAM3基因甲基化者分别为4%、10%、38%、54%。随着宫颈病变程度的加重，JAM3基因的甲基化水平呈逐渐升高趋势。JAM3基因在正常组、CINI组、CINII组、CIN III组任意两组之间均存在显著差异(P< 0.01)。联合JAM3基因甲基化检测可弥补HPV低特异性及TCT低敏感性的缺陷，复发患者甲基化水平明显高于治愈者，差异具有统计学意义。结论:JAM3甲基化检测可显著提高宫颈高级别上皮内瘤变检出率，可为阴道镜检查不满意的LSIL患者分流管理提供参考；协助CIN Ⅱ~II分级管理，提高病理诊断一致性；JAM3甲基化可作为高级别上皮内瘤变术后复发预测标志物。",临沂市中心医院
2025,刘倩; 杨帆; 徐冉; 王新立,PAX1/JAM3双基因甲基化在宫颈癌筛查及治疗中的应用,国际妇产科学杂志,10.12280/gjfckx.20250484,https://qikan.chaoxing.com/detail_38502727e7500f2667fd13009fcb48efffd454ed1a289dd61921b0a3ea255101fc1cf1fbb4666ae6742e4b40970f856483a448ee65dd3e7379243b86b6a9162676c448168ff73373b86e90f6d54da1dc,【摘 要】 宫颈癌在我国女性恶性肿瘤中发病率位居第二，是女性癌症死亡的主要原因之一，且总体发病率呈上升趋势。目前，液基薄层细胞学检查（thin-prep cytology test，TCT）和高危型人乳头瘤病毒（high-risk human papilloma virus，HR-HPV）DNA检测是主要的宫颈癌筛查手段，但二者均存在局限性，TCT结果可重复性差且敏感度低；而HRHPV DNA检测特异度低，可能导致过度诊疗，因此亟需更精准的筛查方案。随着DNA甲基化检测技术迅速发展，多种基因甲基化被用于宫颈癌筛查，其中配对框基因1（paired box gene 1，PAX1）/连接黏附分子3（junctional adhesion molecule 3，JAM3）双基因甲基化备受关注，有研究称其与宫颈癌细胞迁移和侵袭相关。尽管目前相关研究尚不完善，但PAX1/JAM3双基因甲基化在宫颈癌筛查和治疗领域极具潜力，联合应用PAX1/JAM3双基因甲基化，有助于优化宫颈癌筛查策略，提高临床分流准确性。综述PAX1/JAM3双基因甲基化在宫颈癌筛查及治疗中的应用，旨在为宫颈癌筛查的精准实施和分层管理提供理论依据。,山东第一医科大学(山东省医学科学院)
2025,肖金芬; 张旭梅; 刘懿; 丁尚玮; 曾倩; 李芹,PAX1、JAM3甲基化对子宫颈高级别上皮内瘤变诊断的meta分析,现代妇产科进展,10.13283/j.cnki.xdfckjz.2025.09.004,https://qikan.chaoxing.com/detail_38502727e7500f268fe1da1518af1fff3ff4992bd807e6451921b0a3ea255101fc1cf1fbb4666ae61ea329ff56e8fa08e8ff680404a689d04f1ebb53d0fa3cc2e03a1ccd46167c5bbecdcf842f019754,"【摘要】 目的：系统评价PAX1、JAM3双基因甲基化联合诊断子宫颈高级别鳞状上皮内瘤变(HSIL)的整体诊断效能,为临床决策提供循证证据。方法：检索知网(CNKI)、万方、维普(VIP)、中国生物医学文献数据库(CBM)、Pubmed、Embase、Web of science和Cochrane Library数据库,收集PAX1、JAM3双基因甲基化对HSIL诊断价值的研究,检索时限为建库至2024年2月。按纳入及排除标准,使用QUADAS-2评价文献质量,采用meta-disc1.4进行meta分析以评估PAX1、JAM3双基因甲基化对HSIL的诊断价值。结果：最终纳入7项诊断试验。Meta分析结果显示,PAX1、JAM3双基因甲基化诊断CIN2+合并灵敏度为0.78(95%CI:0.75～0.80),合并特异度为0.95(95%CI:0.94～0.95),合并阳性似然比(PLR)为14.610(95%CI:10.116～21.099),合并阴性似然比(NLR)为0.202(95%CI:0.150～0.273),合并曲线下面积(AUC)为0.9694,合并诊断比值比(DOR)为77.36(95%CI:43.06～138.99)。PAX1、JAM3双基因甲基化诊断CIN3+合并灵敏度为0.84(95%CI:0.80～0.87),合并特异度为0.87(95%CI:0.86～0.88),合并阳性似然比(PLR)为5.911(95%CI:4.765～7.333),合并阴性似然比(NLR)为0.172(95%CI:0.098～0.304),合并曲线下面积(AUC)为0.9251,合并诊断比值比(DOR)为34.76(95%CI:20.09～60.13)。结论：PAX1和JAM3双基因甲基化在诊断HSIL方面具有较高的敏感度和特异度,具有较高的诊断效能。",昆明医科大学附属延安医院
2023,"Li, Xiang; He, Sili; Zhao, Xingping; Sun, Dan; Wu, Si; Xu, Dabao; Li, Yingjia",High-grade cervical lesions diagnosed by JAM3/PAX1 methylation in high-risk human papillomavirus-infected patients,Journal of Central South University (Medical Sciences),10.11817/j.issn.1672-7347.2023.230175,https://xbyxb.csu.edu.cn/zh/article/doi/10.11817/j.issn.1672-7347.2023.230175/,"OBJECTIVES: Currently, traditional cervical cancer screening methods, such as high-risk human papillomavirus testing and liquid based cytology (LBC), still possess limitations. This study aims to identify new diagnostic biomarkers to achieve the goal of ""precision screening"" via exploring the clinical value of DNA methylation [ΔCtP: paired box gene 1 (PAX1)and ΔCtJ: junctional adhesion molecule 3 (JAM3)] detection in cervical exfoliated cells for the diagnosis of high-grade cervical lesions. METHODS: A total of 136 patients who underwent gynecological examinations in the vaginal room of the Department of Gynecology at the Third Xiangya Hospital of Central South University from June 2021 to June 2022 were retrospectively studied. Among them, 122 patients had non-high-grade cervical lesions, and 14 patients had high-grade cervical lesions. The variables included general information (age, body mass index, and menopause status), LBC, high-risk human papillomavirus, cervical tissue pathology, vaginal examination results, and the ΔCt values of JAM3 and PAX1 gene methylation. Logistic regression analysis was used to identify the factors affecting the diagnosis of high-grade cervical lesions, followed by correlation analysis and construction of a conditional inference tree model. RESULTS: Logistic regression analysis showed that the methylation ΔCt values of PAX1 and JAM3 genes and LBC detection results were statistically significant between the high-grade cervical lesions group and the non-high-grade cervical lesions group (all P<0.05). Correlation analysis revealed a negative correlation between cervical pathological changes and ΔCtP (r=-0.36, P<0.001), ΔCtJ (r=-0.448, P<0.001), LBC (r=-0.305, P<0.001), or bacterial diversity (r=-0.183, P=0.037). The conditional inference tree showed that when ΔCtJ>10.13, all of patients had non-high-grade cervical lesions, while ΔCtP>6.22, the number of non-high-grade lesions accounted for 97.5% (117/120), and high-grade lesions accounted for only 2.5% (3/120). When ΔCtJ>8.61 and LBC were atypical squamous cell of undetermined significance or negative for intraepithelial lesions or malignancy (NILM), 105 (99.1%) patients were non-high-grade cervical lesions, only 1 (0.9%) patient was high-grade lesion. When the results of LBC were high-grade lesions, only 9 patients' histopathological examination was the high-grade lesions and 3 non-high-grade lesions. When LBC indicated low-grade lesions, atypical squamous cell of undetermined significance, no intraepithelial lesions, and ΔCtP>6.22, 117 (97.5%) of patients' histopathological examination was the non-high-grade lesions. CONCLUSIONS: The JAM3/PAX1 gene methylation test can be used independently for the stratified diagnosis of high-grade/non-high-grade cervical lesions in women with high-risk human papillomavirus infection, independent of the cytological results of cervical excision. The JAM3/PAX1 gene methylation test can also be used in combination with LBC to make up for the shortcomings of low sensitivity of LBC. In addition, the application of methylation kit in large-scale cervical cancer screening in the future will be good to the detection of more patients with high-grade cervical lesions, and achieve early screening and early treatment for cervical lesions/cancer.",中南大学湘雅三医院
2024,"Chen, Xiaoyan; Jiang, Haimin; Xu, Hubin; Wang, Linhai; Liu, Pei; Ma, Dongxue; Wang, Hui; Shou, Huafeng; Fang, Xuqian",Cervical cancer screening: efficacy of PAX1 and JAM3 methylation assay in the triage of atypical squamous cell of undetermined significance (ASC-US),BMC cancer,10.1186/s12885-024-13082-z,https://bmccancer.biomedcentral.com/articles/10.1186/s12885-024-13082-z,"BACKGROUND: Atypical squamous cells of undetermined significance (ASC-US) often present diagnostic challenges with cytology-based results, leading to potential underdiagnosis or overdiagnosis. An effective triage method is essential for managing these cases to reduce unnecessary referrals and treatment. METHODS: A total of 322 women diagnosed with ASC-US were tested for HPV-DNA and the PAX1 and JAM3 methylation (PAX1m/JAM3m) test in the study. RESULTS: Methylation levels of PAX1 and JAM3 were significantly elevated in cervical lesions classified as CIN2 or more severe lesions (CIN2+). The methylation assay demonstrated a sensitivity of 83.8% and a specificity of 95.8%, outperforming HPV-DNA testing in differentiating high-grade cervical lesions among women with ASC-US. Moreover, PAX1m/JAM3m testing significantly reduced the colposcopy referral rate for further diagnostic procedures in high-risk HPV-positive women by 79.5%. CONCLUSIONS: PAX1m/JAM3m testing shows promise as a reliable supplemental method to HPV-DNA testing for the triage of women with cytologic ASC-US. In addition, the molecular triage based on the CISCER assay or single PAX1 or JAM3 methylation, had better effects in the women with non-HPV16/18 group. This approach could potentially minimize overtreatment and unnecessary referrals in clinical practice, enhancing patient management and resource utilization.",Zhejiang Provincial People’s Hospital
2025,"Shang, Xiao; Kong, Linghua; You, Yan; Wu, Huanwen; Liou, Yuligh; Jin, Xitong; Liu, Pei; Lang, Jinghe; Li, Lei",Cytologic DNA methylation for managing minimally abnormal cervical cancer screening results,International Journal of Gynaecology and Obstetrics,10.1002/ijgo.70167,,"OBJECTIVES: To explore the role of a DNA methylation assay for managing minimally abnormal cervical cancer screening results in a prospective cohort undergoing opportunistic cervical cancer screening. METHODS: In the cohort of the METHY2 and METHY3 screening studies of women undergoing opportunistic cervical cancer screening, cervical cytology samples were sent for high-risk human papillomavirus (hrHPV) DNA assays, cytologic pathology and methylation assays of PAX1/JAM3 (CISCER). This study evaluated the discriminative power of CISCER in managing women with minimally abnormal cervical cancer screening results for CIN3+. Absolute CIN3+ risks and colposcopy referrals within one screening round were calculated. RESULTS: A total of 1857 women with minimally abnormal cervical cancer findings had cervical histologic outcomes and were included in the analysis. In women with a minimally abnormal cervical cancer result, the sensitivity and specificity of CISCER was 74.9% (95% confidence interval [CI], 68.3%-81.4%) and 89.1% (95% CI 87.6%-90.6%) for detecting CIN3+. CISCER analysis discriminated well for minimally abnormal cervical cancer results, yielding a CIN3+ risk of 40.5% (95% CI 34.9%-46.2%) after a positive result and a CIN3+ risk of 2.7% (95% CI 2.0%-3.6%) after a negative result. CONCLUSIONS: In women with a minimally abnormal cervical cancer screening result, the CISCER provides excellent detection of CIN3+. The use of CISCER in women with a minimally abnormal cervical cancer screening result can lead to a substantial reduction in the number of direct colposcopy referrals.",Peking Union Medical College Hospital
2025,"Kong, Linghua; Xiao, Xiaoping; Wu, Huanwen; You, Yan; Jin, Xitong; Liou, Yuligh; Liu, Pei; Lang, Jinghe; Li, Lei",Triage performance of DNA methylation for women with high-risk human papillomavirus infection,The Oncologist,10.1093/oncolo/oyae324,https://academic.oup.com/oncolo/article/doi/10.1093/oncolo/oyae324/7911806,"Objective DNA methylation is a promising biomarker for cervical cancer screening. This study aimed to validate the triage performance of cytological DNA methylation for detecting cervical intraepithelial neoplasia of grade 3 or worse (CIN3+) in women with high-risk human papillomavirus (hrHPV) infection from a large prospective cohort undergoing opportunistic screening in China (METHY3). Methods The triage performance for detecting CIN3+ lesions was compared between HPV16/18 genotyping, a liquid-based cytology (LBC) test, and the PAX1 and JAM3 methylation (PAX1m/JAM3m) test according to cervical pathologic outcomes. Among the 4394 women infected with hrHPV, 1105 had definitive cervical histological findings that were analyzed. Results For detecting CIN3+, the specificity of HPV16/18(+), the LBC result of ≥atypical squamous cells of undetermined significance (ASCUS), and PAX1m/JAM3m(+) was 66.4%, 23.9%, and 89.6%, respectively, with odds ratios of 4.24 (95% confidence interval [CI], 2.85-6.40), 4.44 (2.27-10.1), and 18.5 (12.1-28.7) (P?<?.001), respectively. PAX1m/JAM3m(+) had the highest area under the receiver operating characteristic curve (0.790, 95% CI, 0.747-0.832) in the whole cohort and in women of various ages. PAX1m/JAM3m (+) was detected in all patients with cancer (n?=?28). Compared with HPV16/18 genotyping and the LBC test, PAX1m/JAM3m testing reduced referrals to colposcopy by 20.64 percentage points and 61.18 percentage points, respectively. Conclusions PAX1m/JAM3m testing is highly specific for detecting CIN3+. As a triage biomarker, it is superior to HPV 16/18 genotyping and LBC testing for women with hrHPV infection.",Peking Union Medical College Hospital
2024,"Shang, X.; Kong, L. H.; Xiao, X. P.; Wan, R.; Wang, J.; Wu, H. W.; Chen, X. Y.; Shou, H. F.; Fei, J.; Zhou, J. W.; Lang, J. H.; Li, L.",[A multicenter study on the accuracy of PAX1/JAM3 dual genes methylation testing for screening cervical cancer],Zhonghua Yi Xue Za Zhi,10.3760/cma.j.cn12137-20231004-00630,https://rs.yiigle.com/cmaid/1503178,"Objective: To explore the value of cervical cytologic DNA methylation for screening cervical cancer. Methods: This study was a prospective multicenter study conducted from May to October 2022 in Peking Union Medical College Hospital, Zhejiang Provincial People's Hospital, and the Second Affiliated Hospital of Zhejiang University School of Medicine. Women who accepted opportunistic cervical cancer screening in gynecological outpatient clinics were subjected to liquid-based thin-layer cytology testing (TCT), high-risk human papillomavirus (hrHPV) DNA testing and PAX1/JAM3 dual-genes methylation testing (PAX1m/JAM3m). Colposcopy evaluation and biopsy were offered to women according to current guidelines. The accuracies of various testing methods and their combinations were compared based on histological diagnosis. Results: A total of 1 184 samples diagnosed by histopathology were included in this study, consisting of 541 cases (45.7%) of benign cervical tissue or chronic cervicitis, 273 (23.1%) of cervical intraepithelial neoplasia (CIN) 1, 168 (14.2%) of CIN2, 140 (11.8%) of CIN3, and 62 (5.2%) of cervical cancer. The sensitivity and specificity of PAX1m/JAM3m testing for detecting CIN2 or more severe lesions (CIN2+) were 74.1% and 95.9%, respectively. The sensitivity and specificity of PAX1m/JAM3m testing for detecting CIN3+were 87.6% and 86.8%, respectively. Receiver operating characteristic curve analysis showed that, for detecting CIN3+, the area under curve of PAX1m/JAM3m testing (0.872, 95%CI: 0.847-0.897) was significantly superior to TCT testing (0.580, 95%CI: 0.551-0.610) or hrHPV testing (0.503, 95%CI: 0.479-0.515) (all P values<0.05). Conclusions: The PAX1m/JAM3m test in cervical exfoliated cells has excellent accuracy for the diagnosis of both CIN2+and CIN3+, which is superior to traditional screening protocols and screening strategies.",Peking Union Medical College Hospital
2025,"Chen, Xiaoyan; Xu, Hubin; Zhao, Lingqian; Jiang, Haimin; Shou, Huafeng",The role of PAX1 and JAM3 methylation in predicting the pathological upgrading of cervical intraepithelial neoplasia before conization,Scientific Reports,10.1038/s41598-025-01422-3,https://www.nature.com/articles/s41598-025-01422-3,"To explore the effect of PAX1 and JAM3 gene methylation on pathological upgrading before conization.?A total of 549 patients who underwent colposcopy at our hospital were enrolled for analysis from December 2020 to April 2022. PAX1 and JAM3 gene methylation results in preoperative cervical exfoliated cells were collected. Univariate analysis and multivariate logistic regression analysis were conducted to identify the independent risk factors influencing the pathological upgrading of conization, aiming to establish a prediction model.?A total of 88 patients were finally included for statistical analysis according to the inclusion and exclusion criteria. Based on univariate analysis and multivariate logistic regression analysis, ?Ct PAX1 (P?=?0.016, OR: 0.784, 95%CI 0.644–0.956) and cervical canal lesions (P?=?0.048, OR: 3.469, 95%CI 1.014–11.870) were identified as independent risk factors for pathological upgrading for conization. Using the above results, we established a prediction model for pathological upgrading and plotted the receiver operator characteristic curve (ROC). The area under the curve (AUC) was calculated when the Youden index was maximized with an AUC value of 0.818 (95%CI 0.720–0.916), specificity of 94.4%, sensitivity of 60%. The cut-off value for ?Ct PAX1 was determined as 4.34 when maximizing the Youden index.?PAX1 could be a promising triage marker in predicting the pathological upgrading of CIN before conization. We found that if the ?Ct PAX1 cut-off value is lower than 4.34, it is highly suggestive of pathological upgrading.",Zhejiang Provincial People’s Hospital
2024,"Chen, Xiaojing; Jin, Xitong; Kong, Linghua; Liou, Yuligh; Liu, Pei; Dong, Zhe; Zhou, Sijun; Qi, Bingli; Fei, Jing; Chen, Xiaoyan; Xiong, Guangwu; Hu, Yuchong; Liu, Shikai; Zhou, Jianwei; Shou, Huafeng; Li, Lei",Triage performance of PAX1m/JAM3m in opportunistic cervical cancer screening of non?16/18 human papillomavirus-positive women: a multicenter prospective study in China,Clinical Epigenetics,10.1186/s13148-024-01731-w,https://doi.org/10.1186/s13148-024-01731-w,"OBJECTIVES: In this study, we aimed to validate the performance of the PAX1 and JAM3 methylation (PAX1m/JAM3m) test as a triage tool for detecting cervical intraepithelial neoplasia grade 3 or worse (CIN3?+) in non-16/18 high-risk human papillomavirus-positive patients (non-16/18 hrHPV?+). METHODS: The triage performance of liquid-based cytology (LBC) and the PAX1m/JAM3m test for detecting CIN3?+?were compared. RESULTS: In total, 1851 participants had cervical histological outcomes and were included in the analysis. The sensitivity/specificity of the LBC test results with atypical squamous cells of undetermined significance or worse (LBC?≥?ASCUS) and the PAX1m/JAM3m test were 90.1%/26.7% and 84.8%/88.5%, respectively. PAX1m/JAM3m(?+) had the highest diagnostic AUC (0.866, 95% confidence interval (CI) 0.837-0.896) in the whole cohort. All cancers (n?=?20) were detected by PAX1m/JAM3m(+). Compared with LBC?≥?ASCUS, PAX1m/JAM3m(+) reduced the number of patients who needed referral for colposcopy by 57.21% (74.66% vs. 17.45%). The odds ratios for detecting CIN3?+?by LBC?≥?ASCUS and PAX1m/JAM3m(+) were 3.3 (95% CI 2.0-5.9) and 42.6 (27.1-69.6), respectively (p?<?0.001). The combination of LBC?≥?ASCUS or PAX1m/JAM3m(+) slightly increased the diagnostic sensitivity (98.0%, 95% CI: 95.8-100%) and referral rate (77.09%) but reduced the diagnostic specificity (24.8%, 22.7-26.8%). CONCLUSIONS: In non-16/18 hrHPV(+) women, PAX1m/JAM3m was superior to cytology for detecting CIN3?+?. Compared with LBC?≥?ASCUS, PAX1m/JAM3m(+) reduced the number of significant referrals to colposcopy without compromising diagnostic sensitivity.",Peking Union Medical College Hospital
2024,"Li, Mingzhu; Zhao, Chao; Zhang, Xiaobo; Li, Jingran; Zhao, Yun; Zhang, Wei; Ren, Lihua; Wei, Lihui",PAX1/JAM3 Methylation and HPV Viral Load in Women with Persistent HPV Infection,Cancers,10.3390/cancers16071430,https://www.mdpi.com/2072-6694/16/7/1430,"The relationship of PAX1/JAM3 methylation as well as HPV viral load (VL) with cervical lesions has been reported, but their role in persistent HPV infection without cervical high-grade lesions has not been fully elucidated. A total of 231 females diagnosed with persistent HPV infection and pathologically confirmed absence of high-grade cervical lesions were selected from the Colposcopy Outpatient Clinic of Peking University People's Hospital, from March 2023 to December 2023. They were categorized into two groups based on the duration of HPV infection: the HPV persistent less than 3 years group and the more than 3 years group. PAX1/JAM3 methylation and HPV VL were determined by real-time PCR and BioPerfectus Multiplex Real-Time (BMRT)-HPV reports type-specific VL/10,000 cells, respectively. The average age of individuals with HPV infection lasting more than 3 years was higher compared to those with less than 3 years (48.9 vs. 45.1 years), with a statistically significant difference. Among the participants, 81.8% (189/231) had no previous screening. The methylation levels of JAM3 and PAX1 were significantly higher in individuals with HPV infection persisting for more than 3 years compared to those with less than 3 years, with a statistically significant difference (p < 0.05). There was a significant correlation between PAX1 and JAM3 methylation (p < 0.001), which could be used as cumulative evidence of HPV infection duration before the occurrence of precancerous lesions. The incidence of vaginal intraepithelial lesions was higher in individuals with HPV infection persisting for more than 3 years compared to those with less than 3 years, and HPV VL can be used as an indicative biomarker for concurrent cervical-vaginal lesions, especially for HPV other than 16/18 genotypes.",Peking University People’s Hospital
2024,"Liang, Hui; Liu, Yao; Yin, Suyue; Jiang, Mengyu; Dou, Qiuyan; Wang, Hanhan; Liu, Jie; Chen, Yibo; Liu, Pei; Wang, Jing; Wang, Yishan; Wu, Zhe",Assessment of PAX1 and JAM3 methylation triage efficacy across HPV genotypes and age groups in high-risk HPV-positive women in China,Frontiers in Oncology,10.3389/fonc.2024.1481626,https://www.frontiersin.org/journals/oncology/articles/10.3389/fonc.2024.1481626/full,"OBJECTIVE: This study aimed to evaluate the clinical utility of PAX1/JAM3 methylation (CISCER) test in triaging high-risk human papillomavirus (hrHPV)-positive women. METHODS: We enrolled women who underwent opportunistic screening at Cervical Disease outpatient clinics of Xuzhou Maternity and Child Health Hospital, and Yueyang Central Hospital from December 2022 to May 2024. The effectiveness of CISCER and cytology tests in triaging hrHPV+ patients was analyzed. RESULTS: Among the 436 study participants, 283 (64.9%) had no cervical intraepithelial neoplasia (CIN), while 53 (12.2%) had CIN1, 40 (9.2%) had CIN2, 34 (7.8%) had CIN3, and 26 (5.9%) had cervical cancers. The CISCER tests identified all cases of cervical cancer, particularly 2 hrHPV-negative adenocarcinoma cases. In 396 hrHPV+ individuals, the sensitivity of CISCER tests for detecting CIN2+ lesions was 92.6% (95% CI: 87.2-97.9%), with a specificity of 95.7% (95% CI: 93.4-98%), and an area under the receiver operating characteristic curve (AUC) of 0.941 (95% CI: 0.903-0.979), outperforming cytology tests in both HPV16/18+ and non-16/18 hrHPV+ women. Notably, CISCER demonstrated 100% (95% CI: 90-100%) sensitivity in women aged≥50 and 100% (95%CI: 93.6-100%) specificity in women aged<30. Among CIN2+ women, 37.2% (including 3 cancer) showed low-grade cytological changes that could be detected by CISCER. Meanwhile, 52% of CIN2- women exhibited cytological abnormalities but had negative CISCER results. The immediate CIN3+ risk based on positive CISCER results was 54% (95% CI: 43.8-63.9%). CONCLUSION: The PAX1/JAM3 methylation detection using cervical exfoliated cells showed superior triage performance for hrHPV-positive patients compared to traditional strategies.",Xuzhou Maternity and Child Health Hospital
2024,"Sun, Dan; Shu, Changfa; Zeng, Fei; Xu, Dabao; Zhao, Xingping",The performance of JAM3/PAX1 methylation in the diagnosis of high-grade squamous intraepithelial lesions for women with high-risk HPV infection,BMC cancer,10.1186/s12885-024-13299-y,https://bmccancer.biomedcentral.com/articles/10.1186/s12885-024-13299-y,"OBJECTIVE: To assess the clinical value of DNA methylation measurement in exfoliated cervical cells for distinguishing high-grade squamous intraepithelial lesions (HSIL) from other cervical abnormalities. METHODS: A total of 276 patients were enrolled, and general clinical information was collected. Exfoliated cervical cells were obtained to assess human papillomavirus (HPV) infection, conduct ThinPrep cytology tests (TCT), and measure methylation levels of JAM3 (△CtJ) and PAX1 (△CtP). Logistic regression was performed to identify factors significantly associated with HSIL diagnosis. A conditional inference tree model and the area under the curve (AUC) were employed to evaluate the efficacy of JAM3 and PAX1 methylation in detecting HSIL. RESULTS: Independent risk factors for HSIL diagnosis included △CtJ, △CtP, atypical squamous cells of undetermined significance (ASCUS), and HPV16 infection. The conditional inference tree indicated that 96.4% of patients were non-HSIL when △CtJ?>?11.66, and 99.1% were non-HSIL when △CtP?>?10.97. The diagnostic performance of △CtJ/△CtP surpassed that of TCT/HPV alone. Among six methods, the combination of △CtP, TCT, and high-risk HPV (hr-HPV) testing achieved the highest sensitivity (91.2%), positive predictive value (50.0%), negative predictive value (98.6%), and AUC (0.932). CONCLUSION: In women with hr-HPV infection, DNA methylation analysis of cervical cytology outperformed traditional TCT or HPV testing. The combination of △CtP with TCT and HPV may offer the most accurate screening approach for HSIL.",the Third Xiangya Hospital of Central South University
2025,"Su, Haiqi; Jin, Xitong; Kong, Linghua; You, Yan; Wu, Huanwen; Liou, Yuligh; Li, Lei","The triage role of cytological DNA methylation in women with non-16/18, specifically genotyping high-risk HPV infection",British Journal of Cancer,10.1038/s41416-025-03005-5,https://www.nature.com/articles/s41416-025-03005-5,"OBJECTIVES: To evaluate cytological DNA methylation testing methods for risk stratification in women with non-16/18 HPV, focusing on high-risk HPV (hrHPV) genotyping. METHODS: This study compared the triage performance of liquid-based cytology (LBC) testing, hrHPV genotyping, and PAX1/JAM3 gene methylation (CISCER) testing. The absolute risks of cervical intraepithelial neoplasia grade 2 or worse (CIN2+), grade 3 or worse (CIN3+), and colposcopy referral rates were calculated. RESULTS: The CISCER test showed a CIN3+ risk of 39.1% for positive and 0.9% for negative results. In comparison, LBC?≥?ASCUS and HPV33/35 genotyping had CIN3+ risks of 9.8% and 19.3%, respectively, for positive result. The colposcopy referral rates were 17.4% for CISCER+, 61.9% for LBC?≥?ASCUS, and 8.9% for HPV33/35+ genotyping. The CIN3+ risks were 40.0% and 50.0% when CISCER+ was combined with LBC?≥?ASCUS and HPV33/35+, respectively. The CIN3+ risks were 0.0% and 1.0% when CISCER- was combined with LBC with no intraepithelial lesions or malignancy (NILM) and non-HPV33/35, respectively. Our analysis of CIN2+ patients yielded similar results. CONCLUSIONS: DNA methylation testing outperformed LBC in triaging women with non-16/18 hrHPV infections, significantly reducing unnecessary colposcopy referrals, particularly when combined with HPV33/35 genotyping.",Peking Union Medical College Hospital
